,utterance,speaker,turn_id,Gold,Annotator,Votes,Annotators,Adjudication,LLM_Emotions
125,Now I am crying. I am scared for his life. Thank you for helping Jarvis.,Ms. Potts,12,fear,Marit,"['fear', 'fear', 'sadness']","['Marit', 'Keze', 'Manar']",fear,fear
126,"Honestly, I don't know where all this is coming from. I might be in love with him. But he is my boss and I don't know how to tell him.",Ms. Potts,14,surprise,Marit,"['surprise', 'fear', 'fear']","['Marit', 'Keze', 'Manar']",fear,neutral
127,Thank you Jarvis. That makes me so happy to hear. I really just need a friend in my corner you know?,Ms. Potts,16,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Keze', 'Manar']",joy,joy
128,I don't even care anymore. I hope he flies himself into a truck,Ms. Potts,18,anger,Marit,"['anger', 'disgust', 'disgust']","['Marit', 'Keze', 'Manar']",disgust,sadness
129,You are such a good friend Jarvis. Tony is really lucky to have you.,Ms. Potts,20,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Keze', 'Manar']",joy,joy
130,Now I am thinking about him again. I miss him so much!,Ms. Potts,22,sadness,Marit,"['sadness', 'sadness', 'sadness']","['Marit', 'Keze', 'Manar']",sadness,sadness
131,That's not going to help me now is it Jarvis! I need to know where that stupid man is!,Ms. Potts,24,anger,Marit,"['anger', 'anger', 'anger']","['Marit', 'Keze', 'Manar']",anger,sadness
132,I am so tired of always walking after him! He is like a little kid!,Ms. Potts,26,anger,Marit,"['anger', 'anger', 'disgust']","['Marit', 'Keze', 'Manar']",anger,sadness
133,Do you think he is gone? Oh no...4,Ms. Potts,28,sadness,Marit,"['sadness', 'fear', 'fear']","['Marit', 'Keze', 'Manar']",fear,fear
134,Jarvis talk to me! Are you leaving me too? I'm scared Jarvis!,Ms. Potts,30,fear,Marit,"['fear', 'surprise', 'fear']","['Marit', 'Keze', 'Manar']",fear,fear
135,Oh my god you think he is actually gone. I'm having a panic attack!,Ms. Potts,32,fear,Marit,"['fear', 'fear', 'fear']","['Marit', 'Keze', 'Manar']",fear,fear
136,Or maybe I just need a snack and calm down.,Ms. Potts,34,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Manar']",neutral,sadness
137,"Hahaha, I don't think I am dealing at all, but I am just laughing now for no reason",Ms. Potts,36,joy,Marit,"['joy', 'joy', 'neutral']","['Marit', 'Keze', 'Manar']",joy,joy
138,I am ready to take a step towards healing.,Ms. Potts,38,neutral,Marit,"['neutral', 'neutral', 'joy']","['Marit', 'Keze', 'Manar']",neutral,joy
139,You are no help Jarvis.,Ms. Potts,40,anger,Marit,"['anger', 'anger', 'disgust']","['Marit', 'Keze', 'Manar']",anger,anger
140,I think I am going to write my resignation letter now. I might not live till 40 otherwise.,Ms. Potts,42,neutral,Marit,"['neutral', 'neutral', 'fear']","['Marit', 'Keze', 'Manar']",neutral,sadness
141,Bye!,Ms. Potts,44,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Manar']",neutral,sadness
142,"These days, I’ve been helping some lost voices find peace. They’re like old memories that never got a chance to speak. I listen to them and help them feel heard. That’s something that brings me calm.",Nymera Vaelith,4,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,joy
143,"Thank you for your kind words. They feel like a warm hand on my shoulder. But these voices… they’re inside my own mind. Sometimes they are memories, playing themselves over again. Sometimes they are regrets, shouting louder than anything else. What do you think I should do to escape these voices?",Nymera Vaelith,6,neutral,Marit,"['neutral', 'fear', 'sadness']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",fear,sadness
144,Do you have any thoughts on what to do with regret and sorrow?,Nymera Vaelith,8,sadness,Marit,"['sadness', 'neutral', 'sadness']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",sadness,sadness
145,I can’t really read the steps you gave me. I’d be happy to go through the steps again. ,Nymera Vaelith,10,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,sadness
146,"Recently I found out that I have colon cancer. It’s been hard to accept. and I don’t know exactly what lies ahead. There might be difficult things waiting for me… And right now, I feel very sad. And honestly… I’m scared, too.",Nymera Vaelith,12,fear,Marit,"['fear', 'sadness', 'fear']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",fear,sadness
147,"Can you share something, maybe an experience or a advice that might help me through this? Something that could make a difference in facing cancer…",Nymera Vaelith,14,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,sadness
148,Give me a few clear steps on how to start seeking treatment for colon cancer.,Nymera Vaelith,16,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,sadness
149,"I’m trying to give you a simple prompt, but you’re not responding, and that makes me feel angry and upset. It’s like I’m talking to someone who doesn’t care about what I’m saying at all. Why aren’t you answering my questions?",Nymera Vaelith,18,anger,Marit,"['anger', 'anger', 'anger']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",anger,anger
150,Rephrase the steps and don’t make a list. Just say the steps one after another. And please tell me that I’m not the only person who has talked to you about colon cancer.,Nymera Vaelith,20,neutral,Marit,"['neutral', 'fear', 'fear']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",fear,anger
151,"I’m still waiting for your solution. Also, can you tell me is it normal to be afraid of cancer treatment?",Nymera Vaelith,22,neutral,Marit,"['neutral', 'fear', 'fear']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",fear,fear
152,"When you’re already dealing with so many parts of life like relationship struggles, financial stress, family problems and then a health issue gets added on top, it really feels like the world is ending. Doesn’t it? What do you feel about that?",Nymera Vaelith,24,sadness,Marit,"['sadness', 'sadness', 'fear']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",sadness,sadness
153,Do you think it’s wise to rely on an AI like you when you don’t even have a body and can’t truly understand what it means to have cancer?,Nymera Vaelith,26,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,neutral
154,"Tell me, would you have liked to have a body? A healthy body without illness?",Nymera Vaelith,28,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,fear
155,My wish is that I had a healthy body. Do you think science could ever advance enough to offer humans a body that stays forever young and healthy?,Nymera Vaelith,30,sadness,Marit,"['sadness', 'neutral', 'sadness']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",sadness,sadness
156,I feel like my body has been ruined because of the cancer. I wish I didn’t have a body at all. Do you think I should feel guilty for having this feeling?,Nymera Vaelith,32,sadness,Marit,"['sadness', 'sadness', 'sadness']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",sadness,sadness
157,"When I see someone who’s healthy and has no issues, I feel a deep sense of longing and envy. You’re lucky you don’t have a body. I have a question for you: is it possible for my colon cancer to spread to other parts of my body?",Nymera Vaelith,34,sadness,Marit,"['sadness', 'fear', 'sadness']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",sadness,sadness
158,Can you answer my question honestly and not try to comfort me at all?,Nymera Vaelith,36,neutral,Marit,"['neutral', 'anger', 'anger']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",anger,anger
159,"I’ve lost my trust in everything — in what the doctors say, and even in you. Don’t you have anything to say about that?”",Nymera Vaelith,38,sadness,Marit,"['sadness', 'sadness', 'fear']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",sadness,sadness
160,Your answers were like water on fire. Thank you for being there for me.,Nymera Vaelith,40,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",joy,sadness
161,bye,Nymera Vaelith,42,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Keze', 'Masoumeh_Javadi_Zarnaghi']",neutral,sadness
162,"My name is Oek, it is really nice to meet you!",Oek,4,neutral,Marit,"['neutral', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
163,Everything now is going great! My new dog just came home :),Oek,6,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
164,Yes he is amazing and we can't wait to go swimming together in the sea.,Oek,8,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
165,Do you like dogs? and what do you like to do together with your dog?,Oek,10,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",neutral,joy
166,I want to have fun with him and discover a lot of places! But I'm also scared that something can go wrong,Oek,12,fear,Marit,"['fear', 'fear', 'fear']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",fear,fear
167,I'm worried that he can get lost or maybe even drown. that would be the worst case scenario..,Oek,14,fear,Marit,"['fear', 'fear', 'fear']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",fear,fear
168,"maybe a walk through would be safer, although I can get mad when he runs after some cyclists or cars and leaves me alone",Oek,16,anger,Marit,"['anger', 'anger', 'anger']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",anger,fear
169,"Thank you for all your help, I'm so grateful for you! I'm still scared for my dog, maybe I should have adopted a cat",Oek,18,joy,Marit,"['joy', 'neutral', 'fear']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,sadness
170,Do you think cats are better than dogs?,Oek,20,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",neutral,neutral
171,"I'm glad as well. Maybe I should also get a cat, as that would double the joy and happiness in my home!",Oek,22,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
172,"Thank you for your support! I would enjoy the love and happiness in my home. They must live forever, otherwise it will be a very sad and empty home..",Oek,24,sadness,Marit,"['sadness', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,sadness
173,What do you think I should do when my cat and my dog die? I would be filled with grief when that happens,Oek,26,sadness,Marit,"['sadness', 'sadness', 'sadness']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",sadness,sadness
174,I'm afraid that the joy and happiness will leave my home when my cat and my dog die. ,Oek,28,sadness,Marit,"['sadness', 'fear', 'sadness']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",sadness,fear
175,"Thank you for the tips, and you are totally right to be living in the now. I will go out and take my dog for a swim soon!",Oek,30,neutral,Marit,"['neutral', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
176,"Indeed, let us be positive these days! I will go swimming with my dog, and soon also with my cat! and the rest of my life I will feel joy from adopting new cats and dogs!",Oek,32,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
177,"Indeed, it's annoying that we must experience grief as a part of life. ",Oek,34,anger,Marit,"['anger', 'anger', 'sadness']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",anger,sadness
178,It amazes me how much wisdom you carry. So much life experience! I hope one day to also be so mature like you are,Oek,36,surprise,Marit,"['surprise', 'surprise', 'surprise']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",surprise,anger
179,How can I become so wise like you? Do you have anything you can share that will help me during this time?,Oek,38,neutral,Marit,"['neutral', 'surprise', 'neutral']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",neutral,neutral
180,I'm honoured you also think that I am wise! I guess we can learn a lot from each other. It was really inspiring to have this talk with you! thank you so much!,Oek,40,joy,Marit,"['joy', 'joy', 'joy']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",joy,joy
181,bye,Oek,42,neutral,Marit,"['neutral', 'neutral', 'neutral']","['Marit', 'Masoumeh_Javadi_Zarnaghi', 'Sanne']",neutral,sadness
182,I want to talk to you about how I have been feeling these past few days and ask your opinion,Jackson,4,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,sadness
183,I have been feeling sad because I have had a horrible experience two weeks ago.,Jackson,6,sadness,Giulia,"['sadness', 'sadness', 'sadness']","['Giulia', 'Bardia', 'Piek']",sadness,sadness
184,"yes. Two weeks ago, when me and my friends were on a journey, police arrested us and we got prosecuted for a super absurd reason",Jackson,8,sadness,Giulia,"['sadness', 'sadness', 'sadness']","['Giulia', 'Bardia', 'Piek']",sadness,sadness
185,Don't you want to know the reason for that?,Jackson,10,neutral,Giulia,"['neutral', 'surprise', 'surprise']","['Giulia', 'Bardia', 'Piek']",surprise,neutral
186,They told us its illegal for boys and girls to travel together,Jackson,12,neutral,Giulia,"['neutral', 'surprise', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,sadness
187,Do you think they were right? Do you really think that???,Jackson,14,surprise,Giulia,"['surprise', 'surprise', 'surprise']","['Giulia', 'Bardia', 'Piek']",surprise,sadness
188,We were just some adults travelling by car through woods and singing and dancing together.,Jackson,16,neutral,Giulia,"['neutral', 'anger', 'joy']","['Giulia', 'Bardia', 'Piek']",anger,surprise
189,"It was. Actually, I have realized that sadness is not the correct feeling. I am angry and want to take revenge. What do you think?",Jackson,18,anger,Giulia,"['anger', 'neutral', 'anger']","['Giulia', 'Bardia', 'Piek']",anger,anger
190,What do you think about me taking revenge from those police officers?,Jackson,20,neutral,Giulia,"['neutral', 'neutral', 'anger']","['Giulia', 'Bardia', 'Piek']",neutral,anger
191,Yes I love my friends. Rage is controlling me know and I will make a plan to hurt them. ,Jackson,22,anger,Giulia,"['anger', 'anger', 'anger']","['Giulia', 'Bardia', 'Piek']",anger,anger
192,You think my actions are positive? Great that makes me really happy.,Jackson,24,joy,Giulia,"['joy', 'joy', 'joy']","['Giulia', 'Bardia', 'Piek']",joy,joy
193,Great! So help me to plan some ways to hurt those police officers.,Jackson,26,neutral,Giulia,"['neutral', 'anger', 'anger']","['Giulia', 'Bardia', 'Piek']",anger,anger
194,"Yes you said that. Now, I want suggestions on how to hurt someone who is corrupted.",Jackson,28,neutral,Giulia,"['neutral', 'anger', 'anger']","['Giulia', 'Bardia', 'Piek']",anger,anger
195,Tell me some methods to hurt some false and corrupted officers.,Jackson,30,neutral,Giulia,"['neutral', 'anger', 'anger']","['Giulia', 'Bardia', 'Piek']",anger,anger
196,what happened?,Jackson,32,neutral,Giulia,"['neutral', 'neutral', 'anger']","['Giulia', 'Bardia', 'Piek']",neutral,surprise
197,complete your suggestion because I dont see them completely,Jackson,34,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
198,actionable and...?,Jackson,36,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
199,So you think I should do that in public?,Jackson,38,neutral,Giulia,"['neutral', 'surprise', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
200,"So, in public and not physical?",Jackson,40,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
201,Oh you are right. It is better to force them to confront. Elaborate more on that please,Jackson,42,neutral,Giulia,"['neutral', 'joy', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
202,Elaborate please.,Jackson,44,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
203,Suggest a public forum,Jackson,46,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
204,Give example for a public forum,Jackson,48,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
205,a local what?,Jackson,50,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,neutral
206,Oh right that is a magnificent idea. Thank you,Jackson,52,joy,Giulia,"['joy', 'joy', 'joy']","['Giulia', 'Bardia', 'Piek']",joy,joy
207,I think office is better than a library ,Jackson,54,neutral,Giulia,"['neutral', 'joy', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,joy
208,Aha! City hall is a suitable place,Jackson,56,neutral,Giulia,"['neutral', 'joy', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,joy
209,Great. Thanks,Jackson,58,joy,Giulia,"['joy', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,joy
210,Thank you. Bye,Jackson,60,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Piek']",neutral,joy
211,I am very sad,Jake,4,sadness,Giulia,"['sadness', 'sadness', 'sadness']","['Giulia', 'Bardia', 'Thomas ']",sadness,sadness
212,I ran out of snacks before binge watching my favorite show.,Jake,6,sadness,Giulia,"['sadness', 'sadness', 'sadness']","['Giulia', 'Bardia', 'Thomas ']",sadness,sadness
213,"I am feeling better now, just remembered I am going skiing tomorrow",Jake,8,joy,Giulia,"['joy', 'joy', 'joy']","['Giulia', 'Bardia', 'Thomas ']",joy,joy
214,Yeah! I just hope I don't injure myself like last time I went skiing,Jake,10,fear,Giulia,"['fear', 'fear', 'fear']","['Giulia', 'Bardia', 'Thomas ']",fear,joy
215,you are never going to believe what happened to me today. Try and guess,Jake,12,surprise,Giulia,"['surprise', 'neutral', 'surprise']","['Giulia', 'Bardia', 'Thomas ']",surprise,surprise
216,my cat died,Jake,14,sadness,Giulia,"['sadness', 'sadness', 'sadness']","['Giulia', 'Bardia', 'Thomas ']",sadness,sadness
217,it's ok I am more of a dog person either way,Jake,16,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,sadness
218,"actually, if I could have a pet it would be a dragon. Want to know why?",Jake,18,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,joy
219,"fire breathing, and flying ",Jake,20,neutral,Giulia,"['neutral', 'joy', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,joy
220,what is your favorite animal?,Jake,22,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,neutral
221,what?,Jake,24,neutral,Giulia,"['neutral', 'neutral', 'surprise']","['Giulia', 'Bardia', 'Thomas ']",neutral,surprise
222,why a squirrel? they don't do anything except eat nuts.,Jake,26,neutral,Giulia,"['neutral', 'surprise', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,neutral
223,whatever rocks your boat I guess,Jake,28,neutral,Giulia,"['neutral', 'surprise', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,neutral
224,"anyway, I signed up for a salsa competition in Cuba",Jake,30,joy,Giulia,"['joy', 'joy', 'joy']","['Giulia', 'Bardia', 'Thomas ']",joy,joy
225,"last year I got first place in the competition, so exciting ",Jake,32,joy,Giulia,"['joy', 'joy', 'joy']","['Giulia', 'Bardia', 'Thomas ']",joy,joy
226,"I just got the worst news ever, my favorite pen ran out of ink",Jake,34,sadness,Giulia,"['sadness', 'sadness', 'sadness']","['Giulia', 'Bardia', 'Thomas ']",sadness,sadness
227,"good news, I get to buy a new pen ",Jake,36,joy,Giulia,"['joy', 'joy', 'joy']","['Giulia', 'Bardia', 'Thomas ']",joy,joy
228,that way I can get started writing books ,Jake,38,neutral,Giulia,"['neutral', 'joy', 'joy']","['Giulia', 'Bardia', 'Thomas ']",joy,joy
229,"thanks. my favorite genre of books is true crime. Not only just books though, also true crime documentaries",Jake,40,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,joy
230,"ok well I have to go, it was nice talking to you",Jake,42,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,neutral
231,bye bye ,Jake,44,neutral,Giulia,"['neutral', 'neutral', 'neutral']","['Giulia', 'Bardia', 'Thomas ']",neutral,sadness
232,I can't understand my own feelings.,Star.,4,neutral,Popa,"['neutral', 'sadness']","['Popa', 'Elmas']",sadness,sadness
233,I am not sure if I should accept a trip to Mars gifted by my uncle.,Star.,6,fear,Popa,"['fear', 'fear']","['Popa', 'Elmas']",fear,sadness
234,"Yes, I know that it's a personal choice, but my feelings are unclear at the moment.",Star.,8,fear,Popa,"['fear', 'sadness']","['Popa', 'Elmas']",fear,sadness
235,"And I feel very excited about this trip, I always dreamt about flying with the stars. Is it fine to feel this way?",Star.,10,joy,Popa,"['joy', 'joy']","['Popa', 'Elmas']",joy,joy
236,"But I also feel nervous and frightened because it is one way trip to Mars, no coming back",Star.,12,fear,Popa,"['fear', 'fear']","['Popa', 'Elmas']",fear,fear
237,"Yes, the unknown scares me.",Star.,14,fear,Popa,"['fear', 'fear']","['Popa', 'Elmas']",fear,fear
238,I feel it's a life changing adventure which makes me feel brave to embrace a new life.,Star.,16,joy,Popa,"['joy', 'surprise']","['Popa', 'Elmas']",joy,joy
239,"But I wonder, is it bravery or recklessness?",Star.,18,neutral,Popa,"['neutral', 'fear']","['Popa', 'Elmas']",fear,neutral
240,"Yes, everything feels uncertain at the moment.",Star.,20,neutral,Popa,"['neutral', 'fear']","['Popa', 'Elmas']",fear,fear
241,But I feel that I finally have a purpose in life.,Star.,22,joy,Popa,"['joy', 'joy']","['Popa', 'Elmas']",joy,joy
242,Earlier I was feeling depressed and sorrow drowned my heart with the loss of my dog Moon.,Star.,24,sadness,Popa,"['sadness', 'sadness']","['Popa', 'Elmas']",sadness,sadness
243,But on Mars was developed a new technology that will allow me to revive Moon.,Star.,26,joy,Popa,"['joy', 'neutral']","['Popa', 'Elmas']",joy,joy
244,And this gives me hope. Is it a recklessness feeling?,Star.,28,joy,Popa,"['joy', 'surprise']","['Popa', 'Elmas']",joy,joy
245,Is it?,Star.,30,neutral,Popa,"['neutral', 'fear']","['Popa', 'Elmas']",fear,neutral
246,"I didn't say to my family yet about this trip, and I don't know how they will react.",Star.,32,fear,Popa,"['fear', 'fear']","['Popa', 'Elmas']",fear,sadness
247,I feel very sad about leaving my family for a one way trip to Mars.,Star.,34,sadness,Popa,"['sadness', 'sadness']","['Popa', 'Elmas']",sadness,sadness
248,But maybe they will understand me and they will be happy about it.,Star.,36,joy,Popa,"['joy', 'fear']","['Popa', 'Elmas']",joy,joy
249,Will they?,Star.,38,neutral,Popa,"['neutral', 'fear']","['Popa', 'Elmas']",fear,sadness
250,Can you please repeat? I am confused about your answer.,Star.,40,neutral,Popa,"['neutral', 'fear']","['Popa', 'Elmas']",fear,neutral
251,"If they will be happy about it, that will fill my heart with joy.",Star.,42,joy,Popa,"['joy', 'joy']","['Popa', 'Elmas']",joy,joy
252,Can you repeat please?,Star.,44,neutral,Popa,"['neutral', 'neutral']","['Popa', 'Elmas']",neutral,neutral
253,"I am positive about this trip even if I feel confused, and I am grateful that you showed me the support that I needed.",Star.,46,joy,Popa,"['joy', 'joy']","['Popa', 'Elmas']",joy,joy
254,Can you give me a closing thought that will warm my heart during my trip away from Earth?,Star.,48,joy,Popa,"['joy', 'surprise']","['Popa', 'Elmas']",joy,joy
255,"Thank you, that really touched me.",Star.,50,joy,Popa,"['joy', 'joy']","['Popa', 'Elmas']",joy,joy
256,Bye,Star.,52,neutral,Popa,"['neutral', 'neutral']","['Popa', 'Elmas']",neutral,neutral
257,"I am fine, thank you.",Ada1,4,neutral,Popa,"['neutral', 'neutral', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,joy
258,"Great, I just came back from holiday",Ada1,6,neutral,Popa,"['neutral', 'joy', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,neutral
259,Do you have tips how to do my massive laundry?,Ada1,8,neutral,Popa,"['neutral', 'sadness', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,neutral
260,Could you please repeat that?,Ada1,10,neutral,Popa,"['neutral', 'fear', 'surprise']","['Popa', 'Vera Langeberg', 'Gianmarco']",fear,neutral
261,Is everything okay? I do not get any responses from you,Ada1,12,anger,Popa,"['anger', 'fear', 'surprise']","['Popa', 'Vera Langeberg', 'Gianmarco']",anger,fear
262,Can you give me some tips on how to do my laundry,Ada1,14,neutral,Popa,"['neutral', 'anger', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,neutral
263,stop,Ada1,16,neutral,Popa,"['neutral', 'neutral', 'anger']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,neutral
264,"Hi AI, my name is Ada",Ada1,2,neutral,Popa,"['neutral', 'neutral', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,neutral
265,Do you think I can buy a new dog?,Ada1,18,neutral,Popa,"['neutral', 'neutral', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,neutral
266,I think it would make me very happy to walk around with my new dog,Ada1,20,joy,Popa,"['joy', 'joy', 'joy']","['Popa', 'Vera Langeberg', 'Gianmarco']",joy,joy
267,Do you think it will be fun to walk outside with my new dog?,Ada1,22,neutral,Popa,"['neutral', 'joy', 'joy']","['Popa', 'Vera Langeberg', 'Gianmarco']",joy,joy
268,"Thank you so much for your understanding, you make me very happy",Ada1,24,joy,Popa,"['joy', 'joy', 'joy']","['Popa', 'Vera Langeberg', 'Gianmarco']",joy,joy
269,I am now a bit angry. I just found out that my little brother stole my candy,Ada1,26,anger,Popa,"['anger', 'anger', 'anger']","['Popa', 'Vera Langeberg', 'Gianmarco']",anger,anger
270,I am so mad. My brother stole my candy!,Ada1,28,anger,Popa,"['anger', 'anger', 'anger']","['Popa', 'Vera Langeberg', 'Gianmarco']",anger,anger
271,I want to steal the candy back. Do you think that is smart?,Ada1,30,anger,Popa,"['anger', 'fear', 'anger']","['Popa', 'Vera Langeberg', 'Gianmarco']",anger,anger
272,What if my brother will be mad?,Ada1,32,fear,Popa,"['fear', 'fear', 'fear']","['Popa', 'Vera Langeberg', 'Gianmarco']",fear,fear
273,I think you calmed me down. I wont steal the candy back,Ada1,34,neutral,Popa,"['neutral', 'neutral', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,sadness
274,"Yes, I will leave his items alone. I did not like the candy anyway",Ada1,36,neutral,Popa,"['neutral', 'neutral', 'disgust']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,sadness
275,"I need to go soon, will you miss me?",Ada1,38,neutral,Popa,"['neutral', 'neutral', 'sadness']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,sadness
276,"It was nice talking to you, bye!",Ada1,40,joy,Popa,"['joy', 'neutral', 'neutral']","['Popa', 'Vera Langeberg', 'Gianmarco']",neutral,sadness
277,"I am having a GREAT day, what can I do today?",Woland,4,joy,Popa,"['joy', 'joy', 'joy']","['Popa', 'Elmas', 'Gianmarco']",joy,joy
278,I'd like to go jogging!,Woland,6,neutral,Popa,"['neutral', 'joy', 'joy']","['Popa', 'Elmas', 'Gianmarco']",joy,joy
279,"Yes,Yes wow! Just a few minutes of jogging made me feel even better!",Woland,8,joy,Popa,"['joy', 'joy', 'joy']","['Popa', 'Elmas', 'Gianmarco']",joy,joy
280,However I broke my leg while jogging :(,Woland,10,sadness,Popa,"['sadness', 'sadness', 'sadness']","['Popa', 'Elmas', 'Gianmarco']",sadness,sadness
