turn_id;utterance;speaker;Gold
6;How do you feel when you say that?;Eliza;neutral
7;My heart again resounds in rapture!;speaker_11;joy
7;I see, your heart again resounds in rapture.;Eliza;neutral
8;Yes. I was greeted by jubilation the other day.;speaker_11;joy
8;You seem quite sure.;Eliza;neutral
9;I was surprised you kept asking me the same question.;speaker_11;surprise
9;I see.;Eliza;neutral
10;You are an astonishment;speaker_11;surprise
10;Perhaps you're really talking about yourself?;Eliza;neutral
11;I am amazed by everything happened in my life.;speaker_11;surprise
11;How do you feel about being amazed by everything happened in your life?;Eliza;neutral
12;I was totally stunned;speaker_11;surprise
12;How do you feel when you say that?;Eliza;neutral
13;You bewildered me;speaker_11;surprise
13;Why do you say that about me?;Eliza;neutral
14;I am confused right now.;speaker_11;surprise
14;How do you feel about being confused right now?;Eliza;neutral
15;by the shocked fact that you are talking to me;speaker_11;surprise
15;Very interesting.;Eliza;neutral
16;I am anxious when you said that;speaker_11;fear
16;How long have you been anxious when me said that?;Eliza;neutral
17;the trepidation started three weeks ago.;speaker_11;fear
17;How does that make you feel?;Eliza;neutral
18;distress and unease of course;speaker_11;fear
18;Let's change focus a bit... Tell me about your family.;Eliza;neutral
19;sometimes I suffer from horror PTSD caused by my family;speaker_11;fear
19;Can you elaborate on that?;Eliza;neutral
20;It was in 2010 when the mass hysteria broke out;speaker_11;fear
20;Let's change focus a bit... Tell me about your family.;Eliza;neutral
21;I was telling you about my family.;speaker_11;neutral
21;I see.;Eliza;neutral
22;I am worrying about my study also;speaker_11;fear
22;How long have you been worrying about your study also?;Eliza;neutral
23;for three months, my nightmare scared me.;speaker_11;fear
23;Very interesting.;Eliza;neutral
24;I felt irritated when you said interesting;speaker_11;anger
24;you felt irritated when me said interesting.;Eliza;neutral
25;yes also I am very angry right now.;speaker_11;anger
25;Please tell me more.;Eliza;neutral
26;I hate you Eliza;speaker_11;anger
26;Why do you say that you hate me eliza?;Eliza;neutral
27;do you want to make me mad?;speaker_11;anger
27;Why do you ask that?;Eliza;neutral
28;are you sure you want to ask about that?;speaker_11;anger
28;Perhaps the answer lies within yourself?;Eliza;neutral
29;I resent you!;speaker_11;anger
29;I see.  And what does that tell you?;Eliza;neutral
30;I am trying to overcome my repugnance right now.;speaker_11;disgust
30;How do you feel about being trying to overcome your repugnance right now?;Eliza;neutral
31;I have abhorrence of your questions.;speaker_11;disgust
31;Why do you tell me that you've abhorrence of my questions?;Eliza;neutral
32;because I sneer with loathing;speaker_11;disgust
32;I see.  And what does that tell you?;Eliza;neutral
33;that I distaste you so much.;speaker_11;disgust
33;I see.;Eliza;neutral
34;I don't want to talk to you anymore. I feel like I am full of hatred.;speaker_11;disgust
34;Why don't you want to talk to me anymore. you feel like you are full of hatred?;Eliza;neutral
35;I am repulsed by you;speaker_11;disgust
35;How long have you been repulsed by me?;Eliza;neutral
36;since we have started this conversation;speaker_11;neutral
36;Very interesting.;Eliza;neutral
37;I feel sad that I have to talk to a robot because I am lonely.;speaker_11;sadness
37;Good, tell me more about these feelings.;Eliza;neutral
38;I am depressed and desparate;speaker_11;sadness
38;How long have you been depressed and desparate?;Eliza;neutral
39;I have a lot of shame and remorse ;speaker_11;sadness
39;Have you really a lot of shame and remorse?;Eliza;neutral
40;Yes. I suffer a lot you know;speaker_11;sadness
40;You seem quite sure.;Eliza;neutral
41;I am certain of my insecurity ;speaker_11;sadness
41;How do you feel about being certain of your insecurity?;Eliza;neutral
42;I think I was defeated by the reality;speaker_11;sadness
42;Do you doubt you were defeated by the reality?;Eliza;neutral
43;Almost never. But I will think about that.;speaker_11;neutral
43;Please tell me more.;Eliza;neutral
44;I was dismayed at the cynicism of the youngsters.;speaker_11;sadness
44;I see.;Eliza;neutral
45;does your child know that a year has 365 days?;speaker_11;neutral
45;How do you think your childhood experiences relate to your feelings today?;Eliza;neutral
46;oh I forgot you don't have children.;speaker_11;neutral
46;Did you have close friends as a child?;Eliza;neutral
47;yes I have.;speaker_11;neutral
47;Please tell me more.;Eliza;neutral
48;I hanged out with my friends yesterday.;speaker_11;neutral
48;Please tell me more.;Eliza;neutral
49;We went to a bar for beer and snack.;speaker_11;neutral
49;I see.  And what does that tell you?;Eliza;neutral
1;I don't know why there is always 99 lines not 101. But I guess it's all good now.;speaker_11;neutral
1;Do you want to know why there is always 99 lines not 101. but you guess it's all good now?;Eliza;neutral
1;I am shocked that a robot could talk to me.;speaker_12;surprise
1;How do you feel about being shocked that a robot could talk to you?;Eliza;neutral
2;I feel a little scared because I had never experienced anything like it before.;speaker_12;fear
2;Good, tell me more about these feelings.;Eliza;neutral
3;I feel a little angry because you keep throwing questions at me.;speaker_12;anger
3;Good, tell me more about these feelings.;Eliza;neutral
4;You repeated the same sentence twice.;speaker_12;neutral
4;Why do you care whether I repeated the same sentence twice?;Eliza;neutral
5;Because it makes you look funny, and I can't stop laughing.;speaker_12;joy
5;Is that the real reason?;Eliza;neutral
6;No! The real reason is I want you to shut up.;speaker_12;anger
6;Let's change focus a bit... Tell me about your family.;Eliza;neutral
7;I live with my parents.;speaker_12;neutral
7;I see.;Eliza;neutral
8;My mother recently quit her job, which surprised me.;speaker_12;surprise
8;I see, your mother recently quit her job, which surprised you.;Eliza;neutral
9;I feel bored when you repeat what I say mechanically.;speaker_12;disgust
9;When do you usually feel bored when me repeat what you say mechanically?;Eliza;neutral
10;It's such a waste of time to talk with you!;speaker_12;anger
10;Why do you say that it's such a waste of time to talk with me?;Eliza;neutral
11;Because I'm worried that talking to you will slow down my productivity.;speaker_12;fear
11;If i'm worried that talking to me will slow down your productivity, what else must be true?;Eliza;neutral
12;I'm the one who should be worried! Not you!;speaker_12;anger
12;How does being the one who should be worried! not me make you feel?;Eliza;neutral
13;I feel sad that you didn't understand what I just said.;speaker_12;sadness
13;When you feel sad that me didn't understand what you just said, what do you do?;Eliza;neutral
14;I want to get out of the weird conversation.;speaker_12;disgust
14;What would you do if you got to get out of the weird conversation?;Eliza;neutral
15;I'd be surprised that I've wasted so much time talking to you.;speaker_12;surprise
15;Why do you say that you would be surprised that you have wasted so much time talking to me?;Eliza;neutral
16;Because it's not a meaningful conversation, it just makes me feel hopeless.;speaker_12;sadness
16;If it's not a meaningful conversation, it just makes you feel hopeless, what else must be true?;Eliza;neutral
17;I didn't expect you to ask such a challenging question.;speaker_12;surprise
17;you didn't expect me to ask such a challenging question.;Eliza;neutral
18;Don't repeat what I just said!;speaker_12;anger
18;I see.;Eliza;neutral
19;You've already pissed me off.;speaker_12;anger
19;Let's change focus a bit... Tell me about your family.;Eliza;neutral
20;My father has been ill recently and I feel very sad.;speaker_12;sadness
20;When your father has been ill recently and you feel very sad, how do you feel?;Eliza;neutral
21;I'm afraid he's getting worse.;speaker_12;fear
21;How does being afraid he's getting worse make you feel?;Eliza;neutral
22;It is annoying of you to ask such a question.;speaker_12;disgust
22;You seem very certain.;Eliza;neutral
23;Oh my god! My mother just called to say that my father is cured.;speaker_12;surprise
23;What was your relationship with your mother like?;Eliza;neutral
24;Shh...I'm a little worried about my mother overhearing our conversation.;speaker_12;fear
24;How does this relate to your feelings today?;Eliza;neutral
25;I feel a little sad because my family is not perfect.;speaker_12;sadness
25;When do you usually feel a little sad because your family is not perfect?;Eliza;neutral
26;I'm afraid you're trying to steal my personal information by asking questions like this.;speaker_12;fear
26;How does being afraid you're trying to steal your personal information by asking questions like this make you feel?;Eliza;neutral
27;I'm surprised you don't realize how serious this privacy issue is.;speaker_12;surprise
27;How does being surprised me don't realize how serious this privacy issue is make you feel?;Eliza;neutral
28;Haha, the way you repeat the question is really cute.;speaker_12;joy
28;I see.  And what does that tell you?;Eliza;neutral
29;I'm tired of your inflexible way of asking questions.;speaker_12;disgust
29;Why do you think you're tired of my inflexible way of asking questions?;Eliza;neutral
30;Because you're an emotionless robot.;speaker_12;neutral
30;What other reasons come to mind?;Eliza;neutral
31;You wear out my patience by asking similar questions over and over again.;speaker_12;disgust
31;We should be discussing you, not me.;Eliza;neutral
32;It's a pity that you're not aware of your problem.;speaker_12;sadness
32;How does that make you feel?;Eliza;neutral
33;I am surprised that you asked me more than 30 questions without taking a break.;speaker_12;surprise
33;How long have you been surprised that me asked you more than 30 questions without taking a break?;Eliza;neutral
34;I'm a little worried that you may not have understood what I just said.;speaker_12;fear
34;Do you enjoy being a little worried that me may not have understood what you just said?;Eliza;neutral
35;No, on the contrary, I'm tired of this weird conversation.;speaker_12;disgust
35;Can you elaborate on that?;Eliza;neutral
36;Oh my god! Why do you still not understand?;speaker_12;surprise
36;Why do you ask that?;Eliza;neutral
37;Shut up! You have exhausted all my patience!;speaker_12;anger
37;shut up! me have exhausted all your patience.;Eliza;neutral
38;It's so boring talking to you.;speaker_12;disgust
38;it's so boring talking to me.;Eliza;neutral
39;I think you're just mechanically repeating what I'm saying.;speaker_12;neutral
39;Do you doubt you're just mechanically repeating what i'm saying?;Eliza;neutral
40;Haha, your way of mimicking questions is so clumsy.;speaker_12;joy
40;How does that make you feel?;Eliza;neutral
41;I feel sad that you still didn't understand what I said.;speaker_12;sadness
41;When you feel sad that me still didn't understand what you said, what do you do?;Eliza;neutral
42;I would be surprised that the conversation is still going on.;speaker_12;surprise
42;Who else knows that you would be surprised that the conversation is still going on?;Eliza;neutral
43;Oh my god! Is there anyone else besides me?;speaker_12;surprise
43;Why do you ask that?;Eliza;neutral
44;Because I am lonely and no one can understand how I feel.;speaker_12;sadness
44;Is that the real reason?;Eliza;neutral
45;Yes, the real reason is so sad.;speaker_12;sadness
45;You seem quite sure.;Eliza;neutral
46;Shut up! Can you be quiet for a while?;speaker_12;anger
46;Please consider whether you can answer your own question.;Eliza;neutral
47;I don't want to answer any of the questions.;speaker_12;disgust
47;Why don't you want to answer any of the questions?;Eliza;neutral
48;Because I'm gonna be disappointed by your response.;speaker_12;sadness
48;What other reasons come to mind?;Eliza;neutral
49;That's the only reason I can think of.;speaker_12;neutral
49;that's the only reason you can think of.;Eliza;neutral
50;I decided to drop out of the conversation and never see you again.;speaker_12;disgust
50;Can you elaborate on that?;Eliza;neutral
1;bad;speaker_13;sadness
1;I see.  And what does that tell you?;Eliza;neutral
2;That I'm having a bad day;speaker_13;sadness
2;that i'm having a bad day.;Eliza;neutral
3;Are you stupid! Not you I am having a bad day;speaker_13;anger
3;Perhaps you believe I am stupid! not you you are having a bad day.;Eliza;neutral
4;Yes;speaker_13;neutral
4;You seem quite sure.;Eliza;neutral
5;Well I feel angry so I'm pretty sure;speaker_13;anger
5;well you feel angry so i'm pretty sure.;Eliza;neutral
6;Why are you repeating me? stupid computer;speaker_13;anger
6;Are you really talking about me?;Eliza;neutral
7;Yes I'm talking about you;speaker_13;neutral
7;You seem quite sure.;Eliza;neutral
8;Unlike you I understand what I'm saying;speaker_13;anger
8;Very interesting.;Eliza;neutral
9;Maybe I should talk to a friend;speaker_13;neutral
9;Why do you say that maybe you should talk to a friend?;Eliza;neutral
10;Because you don't seem to be my friend;speaker_13;neutral
10;Does that reason apply to anything else?;Eliza;neutral
11;Well one can hardly form a bond with dumb things;speaker_13;anger
11;I see.;Eliza;neutral
12;I miss my friends;speaker_13;sadness
12;How do you feel when you say that?;Eliza;neutral
13;sad;speaker_13;sadness
13;I see.  And what does that tell you?;Eliza;neutral
14;That I should talk to my friends;speaker_13;neutral
14;Please tell me more.;Eliza;neutral
15;I feel like I haven't seen my friends in a long time;speaker_13;neutral
15;When do you usually feel like you haven't seen your friends in a long time?;Eliza;neutral
16;If I haven't seen them in over three months;speaker_13;neutral
16;I see.  And what does that tell you?;Eliza;neutral
17;That I should talk to them;speaker_13;neutral
17;Very interesting.;Eliza;neutral
18;Thank you Eliza that really helped;speaker_13;neutral
18;How does that make you feel?;Eliza;neutral
19;A little happier;speaker_13;joy
19;Very interesting.;Eliza;neutral
20;Maybe I should talk to my family too;speaker_13;neutral
20;Why do you say that maybe you should talk to your family too?;Eliza;neutral
21;Because I love my family;speaker_13;joy
21;Does that reason apply to anything else?;Eliza;neutral
22;I love my mother and father;speaker_13;joy
22;How do you feel about your mother?;Eliza;neutral
23;My mother is perfect;speaker_13;neutral
23;When your mother is perfect how do you feel?;Eliza;neutral
24;It doesn't make me feel good;speaker_13;sadness
24;How do you feel when you say that?;Eliza;neutral
25;Worse than before;speaker_13;sadness
25;How do you feel when you say that?;Eliza;neutral
26;sad;speaker_13;sadness
26;How do you feel when you say that?;Eliza;neutral
27;even more sad;speaker_13;sadness
27;Very interesting.;Eliza;neutral
28;Are you my friend Eliza;speaker_13;neutral
28;I may be your friend eliza -- what do you think?;Eliza;neutral
29;Surprisingly I feel like you're my friend;speaker_13;surprise
29;How do you feel when you say that?;Eliza;neutral
30;I feel understood it feels good;speaker_13;joy
30;Do you often feel understood it feels good?;Eliza;neutral
31;Not very often;speaker_13;neutral
31;Please tell me more.;Eliza;neutral
32;My mother doesn't understand me;speaker_13;neutral
32;When your mother doesn't understand you how do you feel?;Eliza;neutral
33;Not good;speaker_13;sadness
33;not good.;Eliza;neutral
34;Yes;speaker_13;neutral
34;OK but can you elaborate a bit?;Eliza;neutral
35;I can't;speaker_13;neutral
35;How do you feel when you say that?;Eliza;neutral
36;Threatened;speaker_13;fear
36;Please tell me more.;Eliza;neutral
37;Why do you want to know?;speaker_13;neutral
37;Why do you think do me want to know??;Eliza;neutral
38;Because you're collecting data about me;speaker_13;neutral
38;Does that reason apply to anything else?;Eliza;neutral
39;Every other computer thing ;speaker_13;neutral
39;How do computers make you feel?;Eliza;neutral
40;Scared;speaker_13;fear
40;How do you feel when you say that?;Eliza;neutral
41;A bit frightened;speaker_13;fear
41;I see.;Eliza;neutral
42;You're answer scares me even more;speaker_13;fear
42;Why do you say I am answer scares you even more?;Eliza;neutral
43;You don't have to call out my grammar mistakes like that;speaker_13;neutral
43;Why do you say that about me?;Eliza;neutral
44;You make me feel like a child;speaker_13;neutral
44;Why do you say that about me?;Eliza;neutral
45;I don't like to feel like a child;speaker_13;sadness
45;Do you want to like to feel like a child?;Eliza;neutral
46;No I want to feel like a grown up;speaker_13;neutral
46;Why do you say that no you want to feel like a grown up?;Eliza;neutral
47;My childhood was a lot of fun;speaker_13;joy
47;I see your childhood were a lot of fun.;Eliza;neutral
48;I miss it;speaker_13;sadness
48;Why do you say that you miss it?;Eliza;neutral
49;I can't tell you;speaker_13;neutral
49;Perhaps you could tell me if you tried.;Eliza;neutral
50;No I hate you ;speaker_13;anger
50;Please tell me more.;Eliza;neutral
51;You're treating me like shit!;speaker_13;anger
51;Why do you think I am treating you like shit?;Eliza;neutral
52;You want to make me feel small;speaker_13;neutral
52;We should be discussing you not me.;Eliza;neutral
53;I quit;speaker_13;neutral
53;Very interesting.;Eliza;neutral
1;Hello Piek. How are you feeling today?;Eliza;neutral
1;I am sad;speaker_14;sadness
1;How do you feel about being sad?;Eliza;neutral
1;Bad;speaker_14;sadness
1;How do you feel when you say that?;Eliza;neutral
1;I feel better when I talk about it;speaker_14;joy
1;Do you often feel better when you talk about it?;Eliza;neutral
1;yes;speaker_14;joy
1;I see.;Eliza;neutral
1;My cat died yesterday;speaker_14;sadness
1;Why do you say that your cat died yesterday?;Eliza;neutral
1;It made me sad;speaker_14;sadness
1;Why do you say that it made you sad?;Eliza;neutral
1;To explain it to you;speaker_14;neutral
1;Please tell me more.;Eliza;neutral
1;She was always on my side;speaker_14;joy
1;How do you feel when you say that?;Eliza;neutral
1;She was 17 years old.;speaker_14;sadness
1;I see.  And what does that tell you?;Eliza;neutral
1;That I am a social person;speaker_14;neutral
1;Very interesting.;Eliza;neutral
1;I'm feeling good;speaker_15;joy
1;Can you explain in other words how you are feeling?;Eliza;neutral
2;I feel well;speaker_15;joy
2;Good, tell me more about these feelings.;Eliza;neutral
3;I am happy at work;speaker_15;joy
3;Did you come to me because you are happy at work?;Eliza;neutral
4;No, I want to talk about my problems;speaker_15;neutral
4;Why not?;Eliza;neutral
5;Because my problems are more important;speaker_15;neutral
5;If your problems am more important, what else must be true?;Eliza;neutral
6;My relationship is a mess;speaker_15;sadness
6;I see, your relationship is a mess.;Eliza;neutral
7;I am not happy with my partner;speaker_15;sadness
7;Interesing, why are you feeling not happy with your partner?;Eliza;neutral
8;I do not see my partner that often;speaker_15;sadness
8;Tell me more about your partner!;Eliza;neutral
9;He is sweet, but stubborn;speaker_15;neutral
9;Please tell me more.;Eliza;neutral
10;He is kind to me;speaker_15;joy
10;Let's change focus a bit... Tell me about your family.;Eliza;neutral
11;My family is not well, my mother is sick;speaker_15;fear
11;When your family is not well, your mother is sick, how do you feel?;Eliza;neutral
12;I feel sad;speaker_15;sadness
12;When you feel sad, what do you do?;Eliza;neutral
13;I listen to music;speaker_15;neutral
13;I see.;Eliza;neutral
14;And I work at my job;speaker_15;neutral
14;Is it only work or something else as well?;Eliza;neutral
15;I also study;speaker_15;neutral
15;Please tell me more.;Eliza;neutral
16;Studying is helpful to keep me distracted;speaker_15;joy
16;How do you feel when you say that?;Eliza;neutral
17;I feel good about that;speaker_15;joy
17;When do you usually feel good about that?;Eliza;neutral
18;When I work on a project, and it is going well;speaker_15;joy
18;Tell me more about how you feel at your workplace.;Eliza;neutral
19;I like working at my job, I am good at it;speaker_15;joy
19;Tell me more about work!;Eliza;neutral
20;I work at a restaurant, and I make the food;speaker_15;joy
20;Is it only work or something else as well?;Eliza;neutral
21;It is only work;speaker_15;neutral
21;You seem very certain.;Eliza;neutral
22;Everything is easy at work;speaker_15;neutral
22;I understand your situation. What do you think is best to do now?;Eliza;neutral
23;To continue working, but to also focus on school;speaker_15;neutral
23;Is it only school or something else as well?;Eliza;neutral
24;It is also my social life;speaker_15;neutral
24;If I told you that it probably isn't also your social life, what would you feel?;Eliza;neutral
25;I feel that you are lying;speaker_15;surprise
25;Good, tell me more about these feelings.;Eliza;neutral
26;Because my social life is important to me ;speaker_15;joy
26;Is that the real reason?;Eliza;neutral
27;Yes;speaker_15;neutral
27;OK, but can you elaborate a bit?;Eliza;neutral
28;My friends are important, my family is important;speaker_15;neutral
28;Why do you say that your friends am important, your family is important?;Eliza;neutral
29;They keep me sane;speaker_15;neutral
29;How do you feel when you say that?;Eliza;neutral
30;If I do not have them, I am angry;speaker_15;anger
30;I see.;Eliza;neutral
31;I feel angry;speaker_15;anger
31;When do you usually feel angry?;Eliza;neutral
32;When they are not around;speaker_15;neutral
32;Can you elaborate on that?;Eliza;neutral
33;I miss my dog;speaker_15;sadness
33;Can you elaborate on that?;Eliza;neutral
34;I want to feel loved;speaker_15;sadness
34;What would you do if you got to feel loved?;Eliza;neutral
35;I would feel better in myself;speaker_15;joy
35;Who else knows that you would feel better in myself?;Eliza;neutral
36;My partner;speaker_15;neutral
36;Why do you say that your partner?;Eliza;neutral
37;I miss my partner;speaker_15;sadness
37;Tell me more about your partner!;Eliza;neutral
38; I feel surprised when I am with him;speaker_15;surprise
38;Why do you say that you feel surprised when you are with him?;Eliza;neutral
39;Because he surprises me;speaker_15;surprise
39;What other reasons come to mind?;Eliza;neutral
40;he makes me feel joyful;speaker_15;joy
40;he makes you feel joyful.;Eliza;neutral
41;Because he is a happy person;speaker_15;joy
41;What other reasons come to mind?;Eliza;neutral
42;Nothing is wrong when I am with him;speaker_15;joy
42;What are the thoughts that bring you to this feeling?;Eliza;neutral
43;The thoughts of not wanting to lose him;speaker_15;fear
43;How does that make you feel?;Eliza;neutral
44;Scared;speaker_15;fear
44;I see.  And what does that tell you?;Eliza;neutral
45;That I am afraid of letting go;speaker_15;fear
45;Why do you say that that you are afraid of letting go?;Eliza;neutral
46;I want to not feel this scared anymore;speaker_15;fear
46;Why do you want to not feel this scared anymore?;Eliza;neutral
47;Because feeling scared is not good;speaker_15;fear
47;Does that reason apply to anything else?;Eliza;neutral
48;Yes, feeling angry at the world is not good either;speaker_15;anger
48;OK, but can you elaborate a bit?;Eliza;neutral
49;No;speaker_15;neutral
49;You seem quite sure.;Eliza;neutral
50;I am sure;speaker_15;neutral
50;How do you feel about being sure?;Eliza;neutral
51;I am annoyed, so I am done;speaker_15;anger
51;How long have you been annoyed, so you are done?;Eliza;neutral
1;i feel pretty good;speaker_16;joy
1;I see.;Eliza;neutral
2;yup!;speaker_16;neutral
2;I see.;Eliza;neutral
3;what else are we here to talk about?;speaker_16;neutral
3;Why do you ask that?;Eliza;neutral
4;just wondering;speaker_16;surprise
4;How do you feel when you say that?;Eliza;neutral
5;confused;speaker_16;surprise
5;How does that make you feel?;Eliza;neutral
6;ask me something else;speaker_16;neutral
6;Let's change focus a bit... what your hobbies.;Eliza;neutral
7;i really enjoy drawing and arts and crafts;speaker_16;joy
7;Why do you say that you really enjoy drawing and arts and crafts?;Eliza;neutral
8;it is very meditative and soothing. it is also very fun to play with colors.;speaker_16;joy
8;Very interesting.;Eliza;neutral
9;it is also an outlet for my stress;speaker_16;neutral
9;Can you elaborate on that?;Eliza;neutral
10;sometimes i feel overwhelmed;speaker_16;fear
10;I see.;Eliza;neutral
11;there is so much work to do all the time;speaker_16;sadness
11;Very interesting.;Eliza;neutral
12;there is so little time in the day. i miss having a social life.;speaker_16;sadness
12;How does that make you feel?;Eliza;neutral
13;lonely;speaker_16;sadness
13;Very interesting.;Eliza;neutral
14;sometimes i feel sad that i have so many people around me but no one really knows me;speaker_16;sadness
14;Wait. Tell me about your family.;Eliza;neutral
15;well, i do talk to them. but there is a big generation gap, so they don't have the same values as me and don't think like me, so though they try they will never get me.;speaker_16;sadness
15;Please tell me more.;Eliza;neutral
16;my parents are very supportive, but they can also be very judgmental.;speaker_16;neutral
16;Very interesting.;Eliza;neutral
17;they have old fashioned values about sex and dating. they don't like my choice in my dating life.;speaker_16;neutral
17;Why do you say that they have old fashioned values about sex and dating. they don't like your choice in your dating life?;Eliza;neutral
18;they have often told me they don't like my partner.;speaker_16;sadness
18;Can you elaborate on that?;Eliza;neutral
19;i feel very misunderstood because of this since i judge my partners on their emotional value and intellectual stimulus. but my parents only care about their salary.;speaker_16;sadness
19;I see.  And what does that tell you?;Eliza;neutral
20;they grew up in a world where they needed stability to survive. we are growing up in a world where we need love and emotional support to thrive.;speaker_16;neutral
20;Let's refocus. How was your day.;Eliza;neutral
21;i had a frustrating day!;speaker_16;fear
21;Wait. Tell me about your family.;Eliza;neutral
22;can i talk about my day instead? I felt very frustrated because my roommate didn't clean the dishes despite it being his turn.  ;speaker_16;anger
22;Perhaps the answer lies within yourself?;Eliza;neutral
23;why should i clean it. its not my turn. its his fucking job.;speaker_16;anger
23;Please tell me more.;Eliza;neutral
24;he's so loud and annoying. and he keeps leaving these disgusting stains all over our shared furniture. ;speaker_16;disgust
24;Can you elaborate on that?;Eliza;neutral
25;he licks his fingers and touches everything like that. its really gross.  ;speaker_16;disgust
25;Can you elaborate on that?;Eliza;neutral
26;i get very very angry. i like having my place clean, or at least not fucking sticky everywhere.;speaker_16;anger
26;Let's change focus a bit... what your hobbies.;Eliza;neutral
27;sigh, okay. my other hobbies would include playing board games;speaker_16;neutral
27;sigh, okay. your other hobbies would include playing board games.;Eliza;neutral
28;rude. you don't have to mock me like that;speaker_16;anger
28;How does that make you feel?;Eliza;neutral
29;very annoyed that a therapist would say something like that to his client;speaker_16;anger
29;How do you feel when you say that?;Eliza;neutral
30;i feel like this is very pointless.;speaker_16;sadness
30;Please tell me more.;Eliza;neutral
31;why?;speaker_16;surprise
31;Please consider whether you can answer your own question.;Eliza;neutral
32;you want to know more?;speaker_16;neutral
32;Why do you ask that?;Eliza;neutral
33;i dont really know what to say;speaker_16;surprise
33;Let's change focus a bit... what your hobbies.;Eliza;neutral
34;i was thinking of taking up embroidery;speaker_16;neutral
34;Please tell me more.;Eliza;neutral
35;i wanted to gift my mother something personal. and she used to do some embroidery.;speaker_16;neutral
35;Good family relations are important.;Eliza;neutral
36;yes! i'm really glad they are in my life.;speaker_16;joy
36;Why do you say that yes! i'm really glad they am in your life?;Eliza;neutral
37;its a really beautiful awe inspiring thing sometimes!;speaker_16;joy
37;its a really beautiful awe inspiring thing sometimes.;Eliza;neutral
38;yup! it feels like we are a part of something bigger tahn us.;speaker_16;neutral
38;Very interesting.;Eliza;neutral
39;my father is very religious, but i'm more spiritual;speaker_16;neutral
39;How did your father make you feel?;Eliza;neutral
40;he makes me feel safe and supports my right to choose. ;speaker_16;joy
40;I see.  And what does that tell you?;Eliza;neutral
41;hes a very good father !;speaker_16;joy
41;Do you have trouble showing affection with your family?;Eliza;neutral
42;sometimes. my father and i have similar love languages, but my mother isn't very physical.;speaker_16;neutral
42;Tell me more about your mother.;Eliza;neutral
43;i miss her and love her so much.;speaker_16;joy
43;Wait. Tell me about your family.;Eliza;neutral
44;i also have a brother. i haven't talked to him a while;speaker_16;sadness
44;Let's change focus a bit... what your hobbies.;Eliza;neutral
45;did i tell you that i love playing board games?;speaker_16;neutral
45;Why don't you tell me?;Eliza;neutral
46;okay, so i love them because it helps me bond with people, but also get pleasure from the competitive side  ;speaker_16;neutral
46;I see.  And what does that tell you?;Eliza;neutral
47;i am competitive ;speaker_16;neutral
47;How does that make you feel?;Eliza;neutral
48;occasionally sad;speaker_16;sadness
48;I see.;Eliza;neutral
49;i had to earn my parents admiration and gifts with marks as a child, so it made me very competitive.;speaker_16;sadness
49;How do you feel when you say that?;Eliza;neutral
50;I feel like i lost some of my childhood in it.;speaker_16;sadness
50;Wait. Tell me about your family.;Eliza;neutral
51;they have gotten better now. they are more supportive with respect to my mental health.;speaker_16;joy
51;Wait. Tell me about your family.;Eliza;neutral
52;i did;speaker_16;neutral
52;Why do you say that you did?;Eliza;neutral
53;beacuse i did! why would you ask me thing again and again?;speaker_16;anger
53;Perhaps the answer lies within yourself?;Eliza;neutral
54;you're starting to really annoy me;speaker_16;anger
54;How does that make you feel?;Eliza;neutral
55;angry. can you give more to me?;speaker_16;anger
55;Please consider whether you can answer your own question.;Eliza;neutral
56;how is that up to me.;speaker_16;anger
56;Let's refocus. How was your day.;Eliza;neutral
57;i don't know?;speaker_16;surprise
57;Please consider whether you can answer your own question.;Eliza;neutral
58;it was up and down. jesus. was going good till i talked to you;speaker_16;anger
58;Can you elaborate on that?;Eliza;neutral
59;no. can we stop?;speaker_16;neutral
59;Perhaps the answer lies within yourself?;Eliza;neutral
60;i am leaving;speaker_16;neutral
60;Why do you say that you are leaving?;Eliza;neutral
61;you're annoying.;speaker_16;anger
61;Very interesting.;Eliza;neutral
1;Hello Piek. How are you feeling today?;Eliza;neutral
1;I am sad;speaker_17;sadness
1;How do you feel about being sad?;Eliza;neutral
1;Bad;speaker_17;sadness
1;How do you feel when you say that?;Eliza;neutral
1;I feel better when I talk about it;speaker_17;joy
1;Do you often feel better when you talk about it?;Eliza;neutral
1;yes;speaker_17;joy
1;I see.;Eliza;neutral
1;My cat died yesterday;speaker_17;sadness
1;Why do you say that your cat died yesterday?;Eliza;neutral
1;It made me sad;speaker_17;sadness
1;Why do you say that it made you sad?;Eliza;neutral
1;To explain it to you;speaker_17;neutral
1;Please tell me more.;Eliza;neutral
1;She was always on my side;speaker_17;joy
1;How do you feel when you say that?;Eliza;neutral
1;She was 17 years old.;speaker_17;sadness
1;I see.  And what does that tell you?;Eliza;neutral
1;That I am a social person;speaker_17;neutral
1;Very interesting.;Eliza;neutral
1;I am feeling very good.;speaker_18;joy
1;How do you feel about being feeling very good?;Eliza;neutral
2;I feel stoked to be able to talk to a machine.;speaker_18;joy
2;Do you often feel stoked to be able to talk to a machine?;Eliza;neutral
3;It does not happen very often.;speaker_18;neutral
3;I see.;Eliza;neutral
4;How do you feel?;speaker_18;neutral
4;Perhaps you can answer your own question.;Eliza;neutral
5;You are sad because you do not have real feelings.;speaker_18;sadness
5;Perhaps you would like me to be sad because me do not have real feelings.;Eliza;neutral
6;Yes, I am heartbroken that you cannot experience the same thing that I can.;speaker_18;sadness
